,time,pblh(m)
809,2013-03-20,3226.311
810,2013-03-21,2510.6716
811,2013-03-22,2092.0713
812,2013-03-23,2216.973
813,2013-03-24,968.0633
814,2013-03-25,653.2117
815,2013-03-26,1979.3099
816,2013-03-27,2465.8218
817,2013-03-28,2108.8237
818,2013-03-29,2137.7695
819,2013-03-30,2689.4358
820,2013-03-31,778.74945
821,2013-04-01,2245.3354
822,2013-04-02,2786.2927
823,2013-04-03,2925.5083
824,2013-04-04,1090.3142
825,2013-04-05,2390.5945
826,2013-04-06,1301.6819
827,2013-04-07,1344.1464
828,2013-04-08,2368.3813
829,2013-04-09,2127.8027
830,2013-04-10,2398.3875
831,2013-04-11,1810.7246
832,2013-04-12,794.2296
833,2013-04-13,2484.4297
834,2013-04-14,1470.3733
835,2013-04-15,1042.2302
836,2013-04-16,1255.6125
837,2013-04-17,1073.1906
838,2013-04-18,1645.5853
839,2013-04-19,1876.9924
840,2013-04-20,2544.3357
841,2013-04-21,1682.8013
842,2013-04-22,1445.0854
843,2013-04-23,1266.5334
844,2013-04-24,1695.6307
845,2013-04-25,1661.5426
846,2013-04-26,2426.273
847,2013-04-27,2013.2921
848,2013-04-28,1709.6796
849,2013-04-29,611.0654
850,2013-04-30,756.85455
851,2013-05-01,1306.2942
852,2013-05-02,1140.9958
853,2013-05-03,1402.356
854,2013-05-04,1473.13
855,2013-05-05,1188.9736
856,2013-05-06,747.1
857,2013-05-07,686.87573
858,2013-05-08,1332.4832
859,2013-05-09,1411.5804
860,2013-05-10,1940.9276
861,2013-05-11,1473.2361
862,2013-05-12,2675.1748
863,2013-05-13,2812.959
864,2013-05-14,2074.9478
865,2013-05-15,1314.5114
866,2013-05-16,1893.904
867,2013-05-17,2418.639
868,2013-05-18,636.40625
869,2013-05-19,788.45105
870,2013-05-20,1148.3118
871,2013-05-21,1167.0258
872,2013-05-22,1223.2208
873,2013-05-23,1292.6165
874,2013-05-24,1733.589
875,2013-05-25,2851.023
876,2013-05-26,2148.3723
877,2013-05-27,1713.6556
878,2013-05-28,1451.2351
879,2013-05-29,2458.1345
880,2013-05-30,2261.7698
881,2013-05-31,1953.598
882,2013-06-01,2062.1711
883,2013-06-02,1617.3287
884,2013-06-03,1478.9615
885,2013-06-04,1949.569
886,2013-06-05,1724.2584
887,2013-06-06,1327.5529
888,2013-06-07,661.1638
889,2013-06-08,1370.6534
890,2013-06-09,1123.183
891,2013-06-10,1044.3508
