SITE_ID,DATE,AQI_TRUE
BEL116,03/07/2013,43
BEL116,03/08/2013,43
BEL116,03/09/2013,44
BEL116,03/10/2013,51
BEL116,03/11/2013,41
BEL116,03/12/2013,35
BEL116,03/13/2013,41
BEL116,03/14/2013,44
BEL116,03/15/2013,43
BEL116,03/16/2013,62
BEL116,03/17/2013,56
BEL116,03/18/2013,35
BEL116,03/19/2013,46
BEL116,03/20/2013,44
BEL116,03/21/2013,43
BEL116,03/22/2013,37
BEL116,03/23/2013,55
BEL116,03/24/2013,42
BEL116,03/25/2013,48
BEL116,03/26/2013,44
BEL116,03/27/2013,39
BEL116,03/28/2013,40
BEL116,03/29/2013,45
BEL116,03/30/2013,64
BEL116,03/31/2013,54
BEL116,04/01/2013,53
BEL116,04/02/2013,46
BEL116,04/03/2013,48
BEL116,04/04/2013,46
BEL116,04/05/2013,67
BEL116,04/06/2013,47
BEL116,04/07/2013,71
BEL116,04/08/2013,71
BEL116,04/09/2013,71
BEL116,04/10/2013,64
BEL116,04/11/2013,80
BEL116,04/12/2013,46
BEL116,04/13/2013,50
BEL116,04/14/2013,49
BEL116,04/15/2013,46
BEL116,04/16/2013,49
BEL116,04/17/2013,54
BEL116,04/18/2013,48
BEL116,04/19/2013,33
BEL116,04/20/2013,45
BEL116,04/21/2013,48
BEL116,04/22/2013,43
BEL116,04/23/2013,44
BEL116,04/24/2013,51
BEL116,04/25/2013,51
BEL116,04/26/2013,77
BEL116,04/27/2013,93
BEL116,04/28/2013,100
BEL116,04/29/2013,47
BEL116,04/30/2013,44
BEL116,05/01/2013,61
BEL116,05/02/2013,42
BEL116,05/03/2013,44
BEL116,05/04/2013,44
BEL116,05/05/2013,50
BEL116,05/06/2013,38
BEL116,05/07/2013,31
BEL116,05/08/2013,39
BEL116,05/09/2013,43
BEL116,05/10/2013,61
BEL116,05/11/2013,46
BEL116,05/12/2013,44
BEL116,05/13/2013,45
BEL116,05/14/2013,48
BEL116,05/15/2013,87
BEL116,05/16/2013,71
BEL116,05/17/2013,101
BEL116,05/18/2013,46
BEL116,05/19/2013,36
BEL116,05/20/2013,45
BEL116,05/21/2013,52
BEL116,05/22/2013,61
BEL116,05/23/2013,39
BEL116,05/24/2013,31
BEL116,05/25/2013,39
BEL116,05/26/2013,45
BEL116,05/27/2013,49
BEL116,05/28/2013,52
BEL116,05/29/2013,90
BEL116,05/30/2013,112
BEL116,05/31/2013,71
BEL116,06/01/2013,58
BEL116,06/02/2013,37
BEL116,06/03/2013,44
BEL116,06/04/2013,58
BEL116,06/05/2013,90
BEL116,06/06/2013,44
BEL116,06/07/2013,25
BEL116,06/08/2013,61
BEL116,06/09/2013,50
BEL116,06/10/2013,30
BEL116,06/11/2013,48
BEL116,06/12/2013,97
BEL116,06/13/2013,46
BEL116,06/14/2013,44
BEL116,06/15/2013,61
BEL116,06/16/2013,56
BEL116,06/17/2013,80
BEL116,06/18/2013,54
BEL116,06/19/2013,44
BEL116,06/20/2013,58
BEL116,06/21/2013,67
BEL116,06/22/2013,49
BEL116,06/23/2013,32
BEL116,06/24/2013,80
BEL116,06/25/2013,90
BEL116,06/26/2013,100
BEL116,06/27/2013,40
BEL116,06/28/2013,44
BEL116,06/29/2013,74
BEL116,06/30/2013,45
BEL116,07/01/2013,27
BEL116,07/02/2013,26
BEL116,07/03/2013,29
BEL116,07/04/2013,25
BEL116,07/05/2013,28
BEL116,07/06/2013,34
BEL116,07/07/2013,34
BEL116,07/08/2013,50
BEL116,07/09/2013,56
BEL116,07/10/2013,41
BEL116,07/11/2013,61
BEL116,07/12/2013,34
BEL116,07/13/2013,39
BEL116,07/14/2013,26
BEL116,07/15/2013,61
BEL116,07/16/2013,77
BEL116,07/17/2013,112
BEL116,07/18/2013,122
BEL116,07/19/2013,122
BEL116,07/20/2013,51
BEL116,07/21/2013,74
BEL116,07/22/2013,49
BEL116,07/23/2013,49
BEL116,07/24/2013,44
BEL116,07/25/2013,44
BEL116,07/26/2013,54
BEL116,07/27/2013,52
BEL116,07/28/2013,44
BEL116,07/29/2013,54
BEL116,07/30/2013,74
BEL116,07/31/2013,57
BEL116,08/01/2013,40
BEL116,08/02/2013,64
BEL116,08/03/2013,43
BEL116,08/04/2013,34
BEL116,08/05/2013,44
BEL116,08/06/2013,31
BEL116,08/07/2013,43
BEL116,08/08/2013,41
BEL116,08/09/2013,43
BEL116,08/10/2013,42
BEL116,08/11/2013,54
BEL116,08/12/2013,74
BEL116,08/13/2013,45
BEL116,08/14/2013,30
BEL116,08/15/2013,43
BEL116,08/16/2013,58
BEL116,08/17/2013,67
BEL116,08/18/2013,40
BEL116,08/19/2013,34
BEL116,08/20/2013,64
BEL116,08/21/2013,46
BEL116,08/22/2013,61
BEL116,08/23/2013,52
BEL116,08/24/2013,43
BEL116,08/25/2013,48
BEL116,08/26/2013,71
BEL116,08/27/2013,77
BEL116,08/28/2013,57
BEL116,08/29/2013,84
BEL116,08/30/2013,90
BEL116,08/31/2013,58
BEL116,09/01/2013,64
BEL116,09/02/2013,54
BEL116,09/03/2013,49
BEL116,09/04/2013,49
BEL116,09/05/2013,54
BEL116,09/06/2013,46
BEL116,09/07/2013,62
BEL116,09/08/2013,80
BEL116,09/09/2013,36
BEL116,09/10/2013,105
BEL116,09/11/2013,87
BEL116,09/12/2013,50
BEL116,09/13/2013,32
BEL116,09/14/2013,28
BEL116,09/15/2013,44
BEL116,09/16/2013,39
BEL116,09/17/2013,34
